7 126 882 
2 74 438.589844 873.901062
3 74 425.881409 879.011597
4 74 436.097412 851.199768
5 74 428.264404 886.519165
6 74 418.620911 885.391418
0 75 1049.000000 773.000000
1 75 1052.043213 764.763794
2 75 1054.092407 734.945557
3 75 1064.340942 747.734741
4 75 1078.466553 733.478149
5 75 1067.317261 741.355408
6 75 1056.103638 740.675171
0 76 1164.000000 1003.000000
1 76 1168.121948 994.095032
2 76 1169.800537 962.667725
3 76 1177.403809 988.138062
4 76 1192.482178 959.834900
5 76 1180.880371 997.043762
6 76 1168.843018 995.698425
0 77 405.000000 719.000000
1 77 409.209534 700.153992
2 77 412.597107 671.995178
3 77 400.699707 679.483887
4 77 410.783936 651.514282
5 77 404.837891 659.682068
6 77 395.765137 659.351257
0 78 599.000000 957.000000
1 78 603.349609 950.885254
2 78 605.762268 920.602783
3 78 620.157776 929.220093
4 78 631.573364 901.397461
5 78 622.973816 937.217712
6 78 612.902466 936.174683
0 79 1163.000000 956.000000
1 79 1167.003906 962.739685
2 79 1168.691040 931.465027
3 79 1176.375732 926.943970
4 79 1191.559326 928.995483
5 79 1179.769165 935.690430
6 79 1167.619263 934.579590
0 80 620.000000 701.000000
1 80 623.013672 694.973022
2 80 625.055359 694.341797
3 80 610.386108 702.633911
4 80 620.331116 702.076477
5 80 611.428772 737.610840
6 80 601.710449 737.015198
0 81 374.000000 901.000000
1 81 377.952209 896.170288
2 81 380.821533 866.454346
3 81 369.571716 857.416626
4 81 379.501831 829.657166
5 81 372.020996 864.752075
6 81 362.498047 863.925171
0 82 803.000000 752.000000
1 82 806.416382 744.979919
2 82 808.956421 715.748413
3 82 822.355347 713.352783
4 82 834.226440 713.195007
5 82 824.353088 749.548401
6 82 813.756714 748.928833
0 83 -1111.000000 -33.000000
1 83 -1131.516357 -45.915161
2 83 -1125.005859 -71.103027
3 83 -1147.743408 -54.225952
4 83 -1142.648682 -81.714844
5 83 -1143.312012 -48.988647
6 83 -1151.650391 -49.173096
0 84 606.000000 769.000000
1 84 610.216309 748.713623
2 84 613.148438 719.849976
3 84 597.561768 741.589844
4 84 608.950562 713.348022
5 84 600.272644 749.004395
6 84 590.527222 748.327759
0 85 424.000000 877.000000
1 85 427.857910 871.655884
2 85 430.723083 842.088379
3 85 362.385559 826.852783
4 85 370.477600 826.846802
5 85 363.096375 861.822754
6 85 353.774109 861.185608
0 86 -774.000000 -124.000000
1 86 -794.301392 -137.294556
2 86 -787.667847 -161.766235
3 86 -811.094971 -142.033691
4 86 -805.713135 -170.287354
5 86 -807.042358 -136.382568
6 86 -815.117065 -136.440674
0 87 640.000000 980.000000
1 87 644.923218 959.114990
2 87 647.461548 928.567322
3 87 661.955383 922.784668
4 87 673.388428 894.773804
5 87 664.646667 930.893188
6 87 654.375610 929.654663
0 88 336.000000 894.000000
1 88 339.707031 889.176514
2 88 342.949036 859.718506
3 88 329.529724 892.558228
4 88 339.312622 864.826660
5 88 331.813721 899.850647
6 88 322.502808 898.960815
0 89 919.000000 713.000000
1 89 921.959839 720.250793
2 89 923.947205 719.929688
3 89 935.982056 718.126465
4 89 948.921814 717.920532
5 89 938.770142 725.805664
6 89 927.827209 725.273804
0 90 823.000000 747.000000
1 90 826.276367 739.897705
2 90 828.815674 710.682678
3 90 842.056396 708.714478
4 90 854.046753 708.452393
5 90 844.958862 702.072571
6 90 834.384888 701.529175
0 91 1138.000000 -263.000000
1 91 1105.076660 -277.471924
2 91 1106.708374 -298.584473
3 91 1065.423584 -265.298218
4 91 1077.905029 -297.022583
5 91 1068.896851 -258.055420
6 91 1058.389160 -256.995361
0 92 550.000000 940.000000
1 92 554.749329 919.738220
2 92 557.419861 889.785217
3 92 540.721252 937.958984
4 92 551.538086 909.875854
5 92 543.168030 945.665771
6 92 533.281067 944.494446
0 93 288.000000 905.000000
1 93 291.769653 900.531860
2 93 294.779419 871.042297
3 93 311.689209 879.011719
4 93 321.405212 851.358643
5 93 314.023193 886.459045
6 93 304.678894 885.400085
0 94 484.000000 856.000000
1 94 487.920105 850.527100
2 94 489.456360 849.683899
3 94 447.033508 851.632202
4 94 456.467407 837.860718
5 94 449.557922 859.006042
6 94 440.028198 858.277161
0 95 -126.000000 -629.000000
1 95 -148.613525 -642.204956
2 95 -140.549683 -665.958740
3 95 -166.649780 -634.507080
4 95 -160.216064 -667.818604
5 95 -163.156006 -627.830933
6 95 -171.118774 -626.991211
0 96 369.000000 840.000000
1 96 372.925781 835.140503
2 96 374.351318 833.983154
3 96 362.523926 839.328247
4 96 372.509338 811.618164
5 96 366.715393 818.811279
6 96 357.187378 818.125488
0 97 997.000000 613.000000
1 97 999.362366 591.122131
2 97 1001.638184 562.509155
3 97 1013.411499 549.236938
4 97 1026.522339 562.290527
5 97 1016.189331 556.932129
6 97 1005.409424 556.699646
0 98 403.000000 919.000000
1 98 409.315369 870.967041
2 98 412.301758 841.487671
3 98 398.988953 861.003296
4 98 409.063660 833.177856
5 98 403.120850 840.348145
6 98 393.513611 839.529541
0 99 680.000000 721.000000
1 99 682.863525 728.940796
2 99 685.645630 699.943481
3 99 699.679382 711.448059
4 99 710.934265 697.009094
5 99 702.321228 718.939087
6 99 692.345459 718.342163
0 100 366.000000 869.000000
1 100 369.957825 864.023315
2 100 372.051086 848.803223
3 100 360.208435 853.695435
4 100 370.088318 825.991943
5 100 362.703491 860.928955
6 100 353.414124 860.313049
0 101 927.000000 973.000000
1 101 931.320435 980.562561
2 101 933.368408 949.534546
3 101 944.159424 959.072388
4 101 957.469482 930.893005
5 101 947.185181 967.540405
6 101 935.997498 966.238342
0 102 332.000000 673.000000
1 102 335.765869 654.722595
2 102 337.498840 653.733093
3 102 327.708923 648.017700
4 102 335.446289 646.645569
5 102 330.089172 654.828735
6 102 320.721069 654.363892
0 103 961.000000 947.000000
1 103 965.132446 939.195923
2 103 967.132812 923.518433
3 103 977.481445 933.569214
4 103 991.133911 905.239502
5 103 980.680969 941.848022
6 103 969.294739 940.746582
0 104 649.000000 775.000000
1 104 653.109192 754.411011
2 104 655.971985 725.424316
3 104 670.369507 736.574890
4 104 680.069641 764.317139
5 104 672.830933 743.870728
6 104 662.725464 743.333496
0 105 520.000000 949.000000
1 105 525.615723 914.410950
2 105 528.371582 884.374878
3 105 513.319641 903.863037
4 105 523.741333 875.964539
5 105 515.750122 911.459412
6 105 505.992737 910.364502
0 106 552.000000 897.000000
1 106 556.097534 891.208984
2 106 558.105225 875.888489
3 106 542.007996 909.722656
4 106 552.781860 881.980347
5 106 546.034302 888.719849
6 106 536.079224 887.879150
0 107 -296.000000 -251.000000
1 107 -317.441528 -264.536621
2 107 -310.769531 -287.800659
3 107 -336.954712 -264.358276
4 107 -330.630127 -293.349365
5 107 -333.594360 -258.211060
6 107 -341.480835 -257.847168
0 108 -139.000000 -724.000000
1 108 -161.758911 -737.031616
2 108 -153.248535 -761.048950
3 108 -178.845947 -728.095459
4 108 -172.596191 -762.436523
5 108 -180.832153 -756.598755
6 108 -188.732910 -755.342407
0 109 591.000000 716.000000
1 109 594.312073 710.231934
2 109 596.594666 695.491760
3 109 553.906555 686.957092
4 109 563.564758 686.221741
5 109 557.092712 680.345459
6 109 547.450562 679.940552
0 110 -42.000000 -487.000000
1 110 -64.988770 -500.161377
2 110 -57.646973 -523.541382
3 110 -85.404419 -494.100464
4 110 -78.142700 -525.940674
5 110 -81.934082 -487.590942
6 110 -89.883789 -486.843994
0 111 253.000000 881.000000
1 111 257.719360 862.666504
2 111 261.000732 833.653564
3 111 250.658752 838.462830
4 111 258.988098 824.451782
5 111 253.897827 831.697449
6 111 244.871643 831.120789
0 112 1115.000000 745.000000
1 112 1117.817261 736.598267
2 112 1119.972412 736.584045
3 112 1129.151489 735.105957
4 112 1144.022095 735.323242
5 112 1132.144897 743.063965
6 112 1120.808350 742.595581
0 113 239.000000 702.000000
1 113 243.122498 684.264526
2 113 246.681702 656.380249
3 113 235.876038 676.496521
4 113 245.262695 648.781921
5 113 238.437317 683.419922
6 113 229.356873 682.910889
0 114 610.000000 977.000000
1 114 615.188843 956.113037
2 114 617.529663 925.925354
3 114 631.666443 934.541870
4 114 643.190552 906.423218
5 114 634.498718 942.268188
6 114 624.250732 941.218079
0 115 830.000000 991.000000
1 115 835.169922 953.564331
2 115 837.387817 922.861084
3 115 849.247192 932.418457
4 115 861.836853 904.267822
5 115 852.164795 940.680054
6 115 841.343018 939.564941
0 116 177.000000 905.000000
1 116 154.388550 883.696289
2 116 157.455444 854.696533
3 116 120.303711 869.071289
4 116 129.181152 841.765503
5 116 122.634399 876.178833
6 116 113.682983 875.338745
0 117 281.000000 885.000000
1 117 285.639954 866.346680
2 117 288.831604 837.190552
3 117 278.138062 842.091309
4 117 287.567444 814.442017
5 117 282.586304 821.679443
6 117 273.328125 821.041321
0 118 247.000000 -1018.000000
1 118 252.073425 -992.464355
2 118 260.870789 -1015.609619
3 118 258.338318 -977.976562
4 118 266.847473 -1015.603516
5 118 261.237549 -970.022461
6 118 253.240112 -968.267578
0 119 311.000000 862.000000
1 119 314.688782 857.261719
2 119 317.694946 828.045898
3 119 306.723022 833.172241
4 119 315.243896 819.343689
5 119 309.119385 840.441040
6 119 299.844421 839.565063
0 120 241.000000 675.000000
1 120 242.936035 684.102844
2 120 246.521240 656.222351
3 120 235.705811 676.331543
4 120 245.090942 648.612488
5 120 238.281677 683.244568
6 120 229.215515 682.735718
0 121 213.000000 686.000000
1 121 216.050659 681.744873
2 121 219.446045 654.039307
3 121 209.104492 674.061584
4 121 218.481934 646.310120
5 121 211.535645 680.700195
6 121 202.757263 680.316956
0 122 316.000000 922.000000
1 122 322.755127 875.018677
2 122 325.454529 845.544678
3 122 312.519287 878.221680
4 122 322.236267 850.546143
5 122 314.811096 885.615234
6 122 305.509338 884.580566
0 123 436.000000 854.000000
1 123 439.807983 848.750793
