Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature List
------------------------------

nFeatures = 1000

feature | (x,y)=val
    341 | (413.589966,433.832123)=    0 
    342 | (462.960083,265.243500)=    0 
    343 | (1618.532104,336.456848)=    0 
    344 | (999.631714,101.960083)=    0 
    345 | (1492.406860,474.327484)=    0 
    346 | (95.646294,572.530212)=    0 
    347 | (1028.804321,55.778645)=    0 
    348 | (473.948120,284.548920)=    0 
    349 | (1403.983032,382.356079)=    0 
    350 | (421.090179,221.155289)=    0 
    351 | (307.309113,383.256866)=    0 
    352 | (134.483780,771.018555)=    0 
    353 | (1364.577026,498.520599)=    0 
    354 | (966.859985,158.021881)=    0 
    355 | (1501.013184,566.040039)=    0 
    356 | (1623.431030,173.381088)=    0 
    357 | (1535.234985,396.092102)=    0 
    358 | (1543.548462,289.556732)=    0 
    359 | (1464.874023,466.125946)=    0 
    360 | (1532.050659,582.530457)=    0 
    361 | (110.799576,710.256348)=    0 
    362 | (1358.538208,98.155426)=    0 
    363 | (1253.738647,582.755310)=    0 
    364 | (443.555603,478.781372)=    0 
    365 | (486.706818,254.802704)=    0 
    366 | (1544.219482,606.865662)=    0 
    367 | (247.985931,298.202209)=    0 
    368 | (1598.501343,510.091278)=    0 
    369 | (-1.000000,-1.000000)=   -5 
    370 | (771.255676,487.573883)=    0 
    371 | (504.657959,608.870605)=    0 
    372 | (255.963181,501.764008)=    0 
    373 | (1514.874146,615.257202)=    0 
    374 | (464.497131,237.709015)=    0 
    375 | (986.203369,126.167488)=    0 
    376 | (1443.756226,472.969543)=    0 
    377 | (1603.784790,408.731689)=    0 
    378 | (1428.459717,512.230713)=    0 
    379 | (288.980530,417.857086)=    0 
    380 | (-1.000000,-1.000000)=   -4 
    381 | (1384.663452,619.736023)=    0 
    382 | (228.170822,471.632172)=    0 
    383 | (1174.655151,528.464478)=    0 
    384 | (-1.000000,-1.000000)=   -4 
    385 | (1500.060059,524.956848)=    0 
    386 | (255.261200,526.460266)=    0 
    387 | (1570.331665,556.554688)=    0 
    388 | (975.472900,188.838715)=    0 
    389 | (338.024231,322.620300)=    0 
    390 | (917.890320,229.473526)=    0 
    391 | (690.385803,90.503220)=    0 
    392 | (420.796387,542.789734)=    0 
    393 | (1298.047485,524.987915)=    0 
    394 | (547.935059,555.674255)=    0 
    395 | (1405.837036,546.192444)=    0 
    396 | (1653.848511,640.836426)=    0 
    397 | (1580.365356,288.496002)=    0 
    398 | (257.973267,480.781586)=    0 
    399 | (1838.452515,200.269318)=    0 
    400 | (1687.245605,536.428040)=    0 
    401 | (207.556137,560.851135)=    0 
    402 | (1509.117554,499.522125)=    0 
    403 | (543.383484,29.173735)=    0 
    404 | (1195.727295,518.724182)=    0 
    405 | (1447.258667,628.005981)=    0 
    406 | (367.434479,400.001465)=    0 
    407 | (1562.650757,92.498657)=    0 
    408 | (1297.788940,595.847168)=    0 
    409 | (1661.818481,672.699158)=    0 
    410 | (420.910248,462.886597)=    0 
    411 | (466.006927,639.761597)=    0 
    412 | (1022.701904,226.820236)=    0 
    413 | (1598.135376,259.174591)=    0 
    414 | (1655.559570,494.481842)=    0 
    415 | (486.925537,463.962616)=    0 
    416 | (305.593872,509.619629)=    0 
    417 | (1526.939331,174.925522)=    0 
    418 | (509.059479,881.097412)=    0 
    419 | (114.891403,672.987244)=    0 
    420 | (1427.436523,628.977417)=    0 
    421 | (1230.124878,77.273705)=    0 
    422 | (1143.960205,135.544067)=    0 
    423 | (1590.974731,565.478027)=    0 
    424 | (1134.196899,335.211212)=    0 
    425 | (318.362488,352.797974)=    0 
    426 | (243.807236,411.234314)=    0 
    427 | (1488.441528,454.422821)=    0 
    428 | (1489.567261,97.223808)=    0 
    429 | (1408.973877,491.802795)=    0 
    430 | (-1.000000,-1.000000)=   -4 
    431 | (1624.764282,284.461670)=    0 
    432 | (528.808228,594.264587)=    0 
    433 | (1009.529907,269.046814)=    0 
    434 | (507.447296,145.513855)=    0 
    435 | (1406.835205,623.350830)=    0 
    436 | (530.303223,169.548309)=    0 
    437 | (1639.875366,198.193130)=    0 
    438 | (1598.241699,325.935974)=    0 
    439 | (402.840759,504.835602)=    0 
    440 | (1736.389648,126.931229)=    0 
    441 | (1657.333862,472.872406)=    0 
    442 | (286.499817,542.615967)=    0 
    443 | (761.171570,36.263580)=    0 
    444 | (1069.680420,221.305542)=    0 
    445 | (1560.501465,481.130554)=    0 
    446 | (1540.023804,70.528580)=    0 
    447 | (1691.443237,394.753235)=    0 
    448 | (1339.719604,551.165710)=    0 
    449 | (346.920258,435.361481)=    0 
    450 | (1480.120972,118.083099)=    0 
    451 | (335.324799,745.193909)=    0 
    452 | (140.726532,499.123596)=    0 
    453 | (1598.509888,637.573792)=    0 
    454 | (1449.998169,568.938965)=    0 
    455 | (473.180878,509.210144)=    0 
    456 | (1542.339111,127.125313)=    0 
    457 | (1016.725769,87.036163)=    0 
    458 | (510.349182,82.466370)=    0 
    459 | (590.167419,368.290924)=    0 
    460 | (1249.065063,533.603638)=    0 
    461 | (82.402245,273.769196)=    0 
    462 | (1425.260010,571.043945)=    0 
    463 | (1557.011597,638.462036)=    0 
    464 | (1637.770508,566.408386)=    0 
    465 | (231.684372,522.055359)=    0 
    466 | (137.251816,576.633484)=    0 
    467 | (1630.820190,370.257019)=    0 
    468 | (397.794098,536.319580)=    0 
    469 | (1109.015381,334.489685)=    0 
    470 | (445.891663,420.017853)=    0 
    471 | (1506.115723,369.466431)=    0 
    472 | (1583.116577,367.736176)=    0 
    473 | (-1.000000,-1.000000)=   -4 
    474 | (1593.615845,452.608154)=    0 
    475 | (1000.734985,179.656860)=    0 
    476 | (845.590393,108.977280)=    0 
    477 | (75.221413,573.210266)=    0 
    478 | (1618.153931,618.479675)=    0 
    479 | (373.071472,527.407532)=    0 
    480 | (549.428467,196.277527)=    0 
    481 | (1471.192139,514.623901)=    0 
    482 | (1446.935303,393.981873)=    0 
    483 | (1561.586426,432.534180)=    0 
    484 | (593.006104,127.948082)=    0 
    485 | (1833.669312,176.313339)=    0 
    486 | (420.646606,479.919708)=    0 
    487 | (1664.693115,519.673950)=    0 
    488 | (1717.784424,396.129028)=    0 
    489 | (1362.204224,550.862244)=    0 
    490 | (1428.603516,551.314819)=    0 
    491 | (1030.294434,332.113983)=    0 
    492 | (1603.992676,529.411438)=    0 
    493 | (1070.717163,165.264542)=    0 
    494 | (214.960175,668.587769)=    0 
    495 | (1740.186768,202.574326)=    0 
    496 | (843.337830,496.148926)=    0 
    497 | (674.340576,1013.187683)=    0 
    498 | (1446.769287,596.530701)=    0 
    499 | (1707.406616,198.845642)=    0 
    500 | (449.288849,574.302063)=    0 
    501 | (1560.769531,368.842468)=    0 
    502 | (1218.129150,522.473572)=    0 
    503 | (1538.225464,346.698090)=    0 
    504 | (355.066223,349.070923)=    0 
    505 | (71.937965,759.315613)=    0 
    506 | (75.621559,331.262817)=    0 
    507 | (1711.325439,291.815338)=    0 
    508 | (1591.068481,618.219116)=    0 
    509 | (601.216064,1005.831909)=    0 
    510 | (1702.823853,314.762451)=    0 
    511 | (357.396240,376.920624)=    0 
    512 | (321.062439,532.406372)=    0 
    513 | (1278.145752,529.257629)=    0 
    514 | (186.168716,590.045654)=    0 
    515 | (119.106613,509.337738)=    0 
    516 | (1391.146362,580.537781)=    0 
